,commodity,year,Type,msprice,msp_filter
0,paddy-unhusked,2012,Kharif Crops,1250.0,1
1,rice(paddy-hus),2012,Kharif Crops,1280.0,1
2,jowar_hybrid,2012,Kharif Crops,1500.0,1
3,sorgum(jawar),2012,Kharif Crops,1520.0,1
4,bajri,2012,Kharif Crops,1175.0,1
5,maize,2012,Kharif Crops,1175.0,1
6,ragi_maldandi,2012,Kharif Crops,1500.0,1
7,pigeon pea (tur),2012,Kharif Crops,3850.0,1
8,spilt gerrn gram,2012,Kharif Crops,4400.0,1
9,split black gram,2012,Kharif Crops,4300.0,1
10,cotton,2012,Kharif Crops,3600.0,1
11,cotton_long staple,2012,Kharif Crops,3900.0,1
12,gr.nut kernels,2012,Kharif Crops,3700.0,1
13,sunflower,2012,Kharif Crops,3700.0,1
14,soyabean_black,2012,Kharif Crops,2200.0,1
15,soyabean,2012,Kharif Crops,2240.0,1
16,sesamum,2012,Kharif Crops,4200.0,1
17,niger-seed,2012,Kharif Crops,3500.0,1
18,wheat(husked),2012,Rabi Crops,1350.0,1
19,wheat(unhusked),2012,Rabi Crops,1350.0,1
20,barli,2012,Rabi Crops,980.0,1
21,gram_yellow,2012,Rabi Crops,3000.0,1
22,masur_yellow,2012,Rabi Crops,2900.0,1
23,mustard,2012,Rabi Crops,3000.0,1
24,safflower,2012,Rabi Crops,2800.0,1
25,toria_yellow,2012,Rabi Crops,2970.0,1
26,copra (milling)_yellow,2012,Other Crops,5100.0,1
27,copra (ball)_yellow,2012,Other Crops,5350.0,1
28,coconut,2012,Other Crops,1400.0,1
29,jute_yellow,2012,Other Crops,2200.0,1
30,sugar-cane,2012,Other Crops,170.0,1
31,paddy-unhusked,2013,Kharif Crops,1310.0,1
32,rice(paddy-hus),2013,Kharif Crops,1345.0,1
33,jowar_hybrid,2013,Kharif Crops,1500.0,1
34,sorgum(jawar),2013,Kharif Crops,1520.0,1
35,bajri,2013,Kharif Crops,1310.0,1
36,maize,2013,Kharif Crops,1310.0,1
37,ragi_maldandi,2013,Kharif Crops,1500.0,1
38,pigeon pea (tur),2013,Kharif Crops,4300.0,1
39,spilt gerrn gram,2013,Kharif Crops,4500.0,1
40,split black gram,2013,Kharif Crops,4300.0,1
41,cotton,2013,Kharif Crops,3700.0,1
42,cotton_long staple,2013,Kharif Crops,4000.0,1
43,gr.nut kernels,2013,Kharif Crops,4000.0,1
44,sunflower,2013,Kharif Crops,3700.0,1
45,soyabean_black,2013,Kharif Crops,2500.0,1
46,soyabean,2013,Kharif Crops,2560.0,1
47,sesamum,2013,Kharif Crops,4500.0,1
48,niger-seed,2013,Kharif Crops,3500.0,1
49,wheat(husked),2013,Rabi Crops,1400.0,1
50,wheat(unhusked),2013,Rabi Crops,1400.0,1
51,barli,2013,Rabi Crops,1100.0,1
52,gram_yellow,2013,Rabi Crops,3100.0,1
53,masur_yellow,2013,Rabi Crops,2950.0,1
54,mustard,2013,Rabi Crops,3050.0,1
55,safflower,2013,Rabi Crops,3000.0,1
56,toria_yellow,2013,Rabi Crops,3020.0,1
57,copra (milling)_yellow,2013,Other Crops,5250.0,1
58,copra (ball)_yellow,2013,Other Crops,5500.0,1
59,coconut,2013,Other Crops,1425.0,1
60,jute_yellow,2013,Other Crops,2300.0,1
61,sugar-cane,2013,Other Crops,210.0,1
62,paddy-unhusked,2014,Kharif Crops,1360.0,1
63,rice(paddy-hus),2014,Kharif Crops,1400.0,1
64,jowar_hybrid,2014,Kharif Crops,1530.0,1
65,sorgum(jawar),2014,Kharif Crops,1550.0,1
66,bajri,2014,Kharif Crops,1250.0,1
67,maize,2014,Kharif Crops,1310.0,1
68,ragi_maldandi,2014,Kharif Crops,1550.0,1
69,pigeon pea (tur),2014,Kharif Crops,4350.0,1
70,spilt gerrn gram,2014,Kharif Crops,4600.0,1
71,split black gram,2014,Kharif Crops,4350.0,1
72,cotton,2014,Kharif Crops,3750.0,1
73,cotton_long staple,2014,Kharif Crops,4050.0,1
74,gr.nut kernels,2014,Kharif Crops,4000.0,1
75,sunflower,2014,Kharif Crops,3750.0,1
76,soyabean_black,2014,Kharif Crops,2500.0,1
77,soyabean,2014,Kharif Crops,2560.0,1
78,sesamum,2014,Kharif Crops,4600.0,1
79,niger-seed,2014,Kharif Crops,3600.0,1
80,wheat(husked),2014,Rabi Crops,1450.0,1
81,wheat(unhusked),2014,Rabi Crops,1450.0,1
82,barli,2014,Rabi Crops,1150.0,1
83,gram_yellow,2014,Rabi Crops,3175.0,1
84,masur_yellow,2014,Rabi Crops,3075.0,1
85,mustard,2014,Rabi Crops,3100.0,1
86,safflower,2014,Rabi Crops,3050.0,1
87,toria_yellow,2014,Rabi Crops,3020.0,1
88,copra (milling)_yellow,2014,Other Crops,5250.0,1
89,copra (ball)_yellow,2014,Other Crops,5500.0,1
90,coconut,2014,Other Crops,1425.0,1
91,jute_yellow,2014,Other Crops,2400.0,1
92,sugar-cane,2014,Other Crops,220.0,1
93,paddy-unhusked,2015,Kharif Crops,1410.0,1
94,rice(paddy-hus),2015,Kharif Crops,1450.0,1
95,jowar_hybrid,2015,Kharif Crops,1570.0,1
96,sorgum(jawar),2015,Kharif Crops,1590.0,1
97,bajri,2015,Kharif Crops,1275.0,1
98,maize,2015,Kharif Crops,1325.0,1
99,ragi_maldandi,2015,Kharif Crops,1650.0,1
100,pigeon pea (tur),2015,Kharif Crops,4425.0,1
101,spilt gerrn gram,2015,Kharif Crops,4650.0,1
102,split black gram,2015,Kharif Crops,4425.0,1
103,cotton,2015,Kharif Crops,3800.0,1
104,cotton_long staple,2015,Kharif Crops,4100.0,1
105,gr.nut kernels,2015,Kharif Crops,4030.0,1
106,sunflower,2015,Kharif Crops,3800.0,1
108,soyabean,2015,Kharif Crops,2600.0,1
109,sesamum,2015,Kharif Crops,4700.0,1
110,niger-seed,2015,Kharif Crops,3650.0,1
111,wheat(husked),2015,Rabi Crops,1525.0,1
112,wheat(unhusked),2015,Rabi Crops,1525.0,1
113,barli,2015,Rabi Crops,1225.0,1
114,gram_yellow,2015,Rabi Crops,3425.0,1
115,masur_yellow,2015,Rabi Crops,3325.0,1
116,mustard,2015,Rabi Crops,3350.0,1
117,safflower,2015,Rabi Crops,3300.0,1
118,toria_yellow,2015,Rabi Crops,3290.0,1
119,copra (milling)_yellow,2015,Other Crops,5550.0,1
120,copra (ball)_yellow,2015,Other Crops,5830.0,1
121,coconut,2015,Other Crops,1500.0,1
122,jute_yellow,2015,Other Crops,2700.0,1
123,sugar-cane,2015,Other Crops,230.0,1
124,paddy-unhusked,2016,Kharif Crops,1470.0,1
125,rice(paddy-hus),2016,Kharif Crops,1510.0,1
126,jowar_hybrid,2016,Kharif Crops,1625.0,1
127,sorgum(jawar),2016,Kharif Crops,1650.0,1
128,bajri,2016,Kharif Crops,1330.0,1
129,maize,2016,Kharif Crops,1365.0,1
130,ragi_maldandi,2016,Kharif Crops,1725.0,1
131,pigeon pea (tur),2016,Kharif Crops,4625.0,1
132,spilt gerrn gram,2016,Kharif Crops,4800.0,1
133,split black gram,2016,Kharif Crops,4575.0,1
134,cotton,2016,Kharif Crops,3860.0,1
135,cotton_long staple,2016,Kharif Crops,4160.0,1
136,gr.nut kernels,2016,Kharif Crops,4120.0,1
137,sunflower,2016,Kharif Crops,3850.0,1
139,soyabean,2016,Kharif Crops,2675.0,1
140,sesamum,2016,Kharif Crops,4800.0,1
141,niger-seed,2016,Kharif Crops,3725.0,1
150,copra (milling)_yellow,2016,Other Crops,5950.0,1
151,copra (ball)_yellow,2016,Other Crops,6240.0,1
152,coconut,2016,Other Crops,1600.0,1
153,jute_yellow,2016,Other Crops,3200.0,1
154,sugarcane,2016,Other Crops,230.0,1
